feature_name,representation_type_336,representation_type_857,proposed_action,confidence_level,manual_review_required,cross_dataset_validation_status,notes
age,continuous_numeric,excel_like_corrupted_token,repair_excel_like_token_then_convert_to_ordered_bin_code,medium,yes,not_safe_for_cross_dataset_validation,"The token 20-Dec is likely a spreadsheet-corrupted interval label such as 12 - 20, but this should be confirmed before repair. High-risk feature due to Excel-like token or ordinal ambiguity. Not yet safe to treat as the same feature space as dataset 336."
al,ordinal_numeric,excel_like_corrupted_token,unresolved,low,yes,not_safe_for_cross_dataset_validation,"Excel-like tokens are present, but the original ordinal/bin semantics cannot be recovered with high confidence from the observed values alone. High-risk feature due to Excel-like token or ordinal ambiguity."
ane,binary_text,binary_numeric,keep_as_binary_and_map,medium,yes,conditional_after_mapping_confirmation,"Likely a simple binary representation mismatch, but the 0/1 direction in dataset 857 must be confirmed before mapping."
appet,binary_text,binary_numeric,keep_as_binary_and_map,medium,yes,conditional_after_mapping_confirmation,"Feature appears binary, but the semantic direction of dataset 857 numeric codes must be confirmed before any shared mapping is declared safe."
ba,binary_text,binary_numeric,keep_as_binary_and_map,medium,yes,conditional_after_mapping_confirmation,"Feature appears binary, but the semantic direction of dataset 857 numeric codes must be confirmed before any shared mapping is declared safe."
bgr,continuous_numeric,interval_text,convert_interval_to_ordered_bin_code,high,no,repaired_candidate_only_not_cross_dataset_safe,Safe repair is limited to preserving order as within-dataset bin codes. This does not imply equivalence to dataset 336 continuous values.
bu,continuous_numeric,interval_text,convert_interval_to_ordered_bin_code,high,no,repaired_candidate_only_not_cross_dataset_safe,Safe repair is limited to preserving order as within-dataset bin codes. This does not imply equivalence to dataset 336 continuous values.
cad,binary_text,binary_numeric,keep_as_binary_and_map,medium,yes,conditional_after_mapping_confirmation,"Likely a simple binary representation mismatch, but the 0/1 direction in dataset 857 must be confirmed before mapping."
dm,binary_text,binary_numeric,keep_as_binary_and_map,medium,yes,conditional_after_mapping_confirmation,"Likely a simple binary representation mismatch, but the 0/1 direction in dataset 857 must be confirmed before mapping."
hemo,continuous_numeric,interval_text,convert_interval_to_ordered_bin_code,high,no,repaired_candidate_only_not_cross_dataset_safe,Safe repair is limited to preserving order as within-dataset bin codes. This does not imply equivalence to dataset 336 continuous values.
htn,binary_text,binary_numeric,keep_as_binary_and_map,medium,yes,conditional_after_mapping_confirmation,"Likely a simple binary representation mismatch, but the 0/1 direction in dataset 857 must be confirmed before mapping."
pc,binary_text,binary_numeric,keep_as_binary_and_map,medium,yes,conditional_after_mapping_confirmation,"Feature appears binary, but the semantic direction of dataset 857 numeric codes must be confirmed before any shared mapping is declared safe."
pcc,binary_text,binary_numeric,keep_as_binary_and_map,medium,yes,conditional_after_mapping_confirmation,"Feature appears binary, but the semantic direction of dataset 857 numeric codes must be confirmed before any shared mapping is declared safe."
pcv,continuous_numeric,interval_text,convert_interval_to_ordered_bin_code,high,no,repaired_candidate_only_not_cross_dataset_safe,Safe repair is limited to preserving order as within-dataset bin codes. This does not imply equivalence to dataset 336 continuous values.
pe,binary_text,binary_numeric,keep_as_binary_and_map,medium,yes,conditional_after_mapping_confirmation,"Likely a simple binary representation mismatch, but the 0/1 direction in dataset 857 must be confirmed before mapping."
pot,continuous_numeric,interval_text,convert_interval_to_ordered_bin_code,high,no,repaired_candidate_only_not_cross_dataset_safe,Safe repair is limited to preserving order as within-dataset bin codes. This does not imply equivalence to dataset 336 continuous values.
rbc,binary_text,binary_numeric,keep_as_binary_and_map,medium,yes,conditional_after_mapping_confirmation,"Feature appears binary, but the semantic direction of dataset 857 numeric codes must be confirmed before any shared mapping is declared safe."
rbcc,continuous_numeric,interval_text,convert_interval_to_ordered_bin_code,high,no,repaired_candidate_only_not_cross_dataset_safe,Safe repair is limited to preserving order as within-dataset bin codes. This does not imply equivalence to dataset 336 continuous values.
sc,continuous_numeric,interval_text,convert_interval_to_ordered_bin_code,high,no,repaired_candidate_only_not_cross_dataset_safe,Safe repair is limited to preserving order as within-dataset bin codes. This does not imply equivalence to dataset 336 continuous values.
sg,ordinal_numeric,interval_text,convert_interval_to_ordered_bin_code,high,no,repaired_candidate_only_not_cross_dataset_safe,Safe repair is limited to preserving order as within-dataset bin codes. This does not imply equivalence to dataset 336 continuous values.
sod,continuous_numeric,interval_text,convert_interval_to_ordered_bin_code,high,no,repaired_candidate_only_not_cross_dataset_safe,Safe repair is limited to preserving order as within-dataset bin codes. This does not imply equivalence to dataset 336 continuous values.
su,ordinal_numeric,excel_like_corrupted_token,unresolved,low,yes,not_safe_for_cross_dataset_validation,"Excel-like tokens are present, but the original ordinal/bin semantics cannot be recovered with high confidence from the observed values alone. High-risk feature due to Excel-like token or ordinal ambiguity."
wbcc,continuous_numeric,interval_text,convert_interval_to_ordered_bin_code,high,no,repaired_candidate_only_not_cross_dataset_safe,Safe repair is limited to preserving order as within-dataset bin codes. This does not imply equivalence to dataset 336 continuous values.
