feature_name,repair_applied,repair_type,original_value,repaired_value,cross_dataset_validation_status,notes
age,no,none,,,not_safe_for_cross_dataset_validation,"The token 20-Dec is likely a spreadsheet-corrupted interval label such as 12 - 20, but this should be confirmed before repair. High-risk feature due to Excel-like token or ordinal ambiguity. Not yet safe to treat as the same feature space as dataset 336."
al,no,none,,,not_safe_for_cross_dataset_validation,"Excel-like tokens are present, but the original ordinal/bin semantics cannot be recovered with high confidence from the observed values alone. High-risk feature due to Excel-like token or ordinal ambiguity."
ane,no,none,,,conditional_after_mapping_confirmation,"Likely a simple binary representation mismatch, but the 0/1 direction in dataset 857 must be confirmed before mapping."
appet,no,none,,,conditional_after_mapping_confirmation,"Feature appears binary, but the semantic direction of dataset 857 numeric codes must be confirmed before any shared mapping is declared safe."
ba,no,none,,,conditional_after_mapping_confirmation,"Feature appears binary, but the semantic direction of dataset 857 numeric codes must be confirmed before any shared mapping is declared safe."
bgr,yes,ordered_bin_code,< 112,0,repaired_candidate_only_not_cross_dataset_safe,Safe repair is limited to preserving order as within-dataset bin codes. This does not imply equivalence to dataset 336 continuous values.
bgr,yes,ordered_bin_code,112 - 154,1,repaired_candidate_only_not_cross_dataset_safe,Safe repair is limited to preserving order as within-dataset bin codes. This does not imply equivalence to dataset 336 continuous values.
bgr,yes,ordered_bin_code,154 - 196,2,repaired_candidate_only_not_cross_dataset_safe,Safe repair is limited to preserving order as within-dataset bin codes. This does not imply equivalence to dataset 336 continuous values.
bgr,yes,ordered_bin_code,196 - 238,3,repaired_candidate_only_not_cross_dataset_safe,Safe repair is limited to preserving order as within-dataset bin codes. This does not imply equivalence to dataset 336 continuous values.
bgr,yes,ordered_bin_code,238 - 280,4,repaired_candidate_only_not_cross_dataset_safe,Safe repair is limited to preserving order as within-dataset bin codes. This does not imply equivalence to dataset 336 continuous values.
bgr,yes,ordered_bin_code,280 - 322,5,repaired_candidate_only_not_cross_dataset_safe,Safe repair is limited to preserving order as within-dataset bin codes. This does not imply equivalence to dataset 336 continuous values.
bgr,yes,ordered_bin_code,322 - 364,6,repaired_candidate_only_not_cross_dataset_safe,Safe repair is limited to preserving order as within-dataset bin codes. This does not imply equivalence to dataset 336 continuous values.
bgr,yes,ordered_bin_code,364 - 406,7,repaired_candidate_only_not_cross_dataset_safe,Safe repair is limited to preserving order as within-dataset bin codes. This does not imply equivalence to dataset 336 continuous values.
bgr,yes,ordered_bin_code,406 - 448,8,repaired_candidate_only_not_cross_dataset_safe,Safe repair is limited to preserving order as within-dataset bin codes. This does not imply equivalence to dataset 336 continuous values.
bgr,yes,ordered_bin_code,>= 448,9,repaired_candidate_only_not_cross_dataset_safe,Safe repair is limited to preserving order as within-dataset bin codes. This does not imply equivalence to dataset 336 continuous values.
bu,yes,ordered_bin_code,< 48.1,0,repaired_candidate_only_not_cross_dataset_safe,Safe repair is limited to preserving order as within-dataset bin codes. This does not imply equivalence to dataset 336 continuous values.
bu,yes,ordered_bin_code,48.1 - 86.2,1,repaired_candidate_only_not_cross_dataset_safe,Safe repair is limited to preserving order as within-dataset bin codes. This does not imply equivalence to dataset 336 continuous values.
bu,yes,ordered_bin_code,86.2 - 124.3,2,repaired_candidate_only_not_cross_dataset_safe,Safe repair is limited to preserving order as within-dataset bin codes. This does not imply equivalence to dataset 336 continuous values.
bu,yes,ordered_bin_code,124.3 - 162.4,3,repaired_candidate_only_not_cross_dataset_safe,Safe repair is limited to preserving order as within-dataset bin codes. This does not imply equivalence to dataset 336 continuous values.
bu,yes,ordered_bin_code,162.4 - 200.5,4,repaired_candidate_only_not_cross_dataset_safe,Safe repair is limited to preserving order as within-dataset bin codes. This does not imply equivalence to dataset 336 continuous values.
bu,yes,ordered_bin_code,200.5 - 238.6,5,repaired_candidate_only_not_cross_dataset_safe,Safe repair is limited to preserving order as within-dataset bin codes. This does not imply equivalence to dataset 336 continuous values.
bu,yes,ordered_bin_code,238.6 - 276.7,6,repaired_candidate_only_not_cross_dataset_safe,Safe repair is limited to preserving order as within-dataset bin codes. This does not imply equivalence to dataset 336 continuous values.
bu,yes,ordered_bin_code,>= 352.9,7,repaired_candidate_only_not_cross_dataset_safe,Safe repair is limited to preserving order as within-dataset bin codes. This does not imply equivalence to dataset 336 continuous values.
cad,no,none,,,conditional_after_mapping_confirmation,"Likely a simple binary representation mismatch, but the 0/1 direction in dataset 857 must be confirmed before mapping."
dm,no,none,,,conditional_after_mapping_confirmation,"Likely a simple binary representation mismatch, but the 0/1 direction in dataset 857 must be confirmed before mapping."
hemo,yes,ordered_bin_code,< 6.1,0,repaired_candidate_only_not_cross_dataset_safe,Safe repair is limited to preserving order as within-dataset bin codes. This does not imply equivalence to dataset 336 continuous values.
hemo,yes,ordered_bin_code,6.1 - 7.4,1,repaired_candidate_only_not_cross_dataset_safe,Safe repair is limited to preserving order as within-dataset bin codes. This does not imply equivalence to dataset 336 continuous values.
hemo,yes,ordered_bin_code,7.4 - 8.7,2,repaired_candidate_only_not_cross_dataset_safe,Safe repair is limited to preserving order as within-dataset bin codes. This does not imply equivalence to dataset 336 continuous values.
hemo,yes,ordered_bin_code,8.7 - 10,3,repaired_candidate_only_not_cross_dataset_safe,Safe repair is limited to preserving order as within-dataset bin codes. This does not imply equivalence to dataset 336 continuous values.
hemo,yes,ordered_bin_code,10 - 11.3,4,repaired_candidate_only_not_cross_dataset_safe,Safe repair is limited to preserving order as within-dataset bin codes. This does not imply equivalence to dataset 336 continuous values.
hemo,yes,ordered_bin_code,11.3 - 12.6,5,repaired_candidate_only_not_cross_dataset_safe,Safe repair is limited to preserving order as within-dataset bin codes. This does not imply equivalence to dataset 336 continuous values.
hemo,yes,ordered_bin_code,12.6 - 13.9,6,repaired_candidate_only_not_cross_dataset_safe,Safe repair is limited to preserving order as within-dataset bin codes. This does not imply equivalence to dataset 336 continuous values.
hemo,yes,ordered_bin_code,13.9 - 15.2,7,repaired_candidate_only_not_cross_dataset_safe,Safe repair is limited to preserving order as within-dataset bin codes. This does not imply equivalence to dataset 336 continuous values.
hemo,yes,ordered_bin_code,15.2 - 16.5,8,repaired_candidate_only_not_cross_dataset_safe,Safe repair is limited to preserving order as within-dataset bin codes. This does not imply equivalence to dataset 336 continuous values.
hemo,yes,ordered_bin_code,>= 16.5,9,repaired_candidate_only_not_cross_dataset_safe,Safe repair is limited to preserving order as within-dataset bin codes. This does not imply equivalence to dataset 336 continuous values.
htn,no,none,,,conditional_after_mapping_confirmation,"Likely a simple binary representation mismatch, but the 0/1 direction in dataset 857 must be confirmed before mapping."
pc,no,none,,,conditional_after_mapping_confirmation,"Feature appears binary, but the semantic direction of dataset 857 numeric codes must be confirmed before any shared mapping is declared safe."
pcc,no,none,,,conditional_after_mapping_confirmation,"Feature appears binary, but the semantic direction of dataset 857 numeric codes must be confirmed before any shared mapping is declared safe."
pcv,yes,ordered_bin_code,< 17.9,0,repaired_candidate_only_not_cross_dataset_safe,Safe repair is limited to preserving order as within-dataset bin codes. This does not imply equivalence to dataset 336 continuous values.
pcv,yes,ordered_bin_code,17.9 - 21.8,1,repaired_candidate_only_not_cross_dataset_safe,Safe repair is limited to preserving order as within-dataset bin codes. This does not imply equivalence to dataset 336 continuous values.
pcv,yes,ordered_bin_code,21.8 - 25.7,2,repaired_candidate_only_not_cross_dataset_safe,Safe repair is limited to preserving order as within-dataset bin codes. This does not imply equivalence to dataset 336 continuous values.
pcv,yes,ordered_bin_code,25.7 - 29.6,3,repaired_candidate_only_not_cross_dataset_safe,Safe repair is limited to preserving order as within-dataset bin codes. This does not imply equivalence to dataset 336 continuous values.
pcv,yes,ordered_bin_code,29.6 - 33.5,4,repaired_candidate_only_not_cross_dataset_safe,Safe repair is limited to preserving order as within-dataset bin codes. This does not imply equivalence to dataset 336 continuous values.
pcv,yes,ordered_bin_code,33.5 - 37.4,5,repaired_candidate_only_not_cross_dataset_safe,Safe repair is limited to preserving order as within-dataset bin codes. This does not imply equivalence to dataset 336 continuous values.
pcv,yes,ordered_bin_code,37.4 - 41.3,6,repaired_candidate_only_not_cross_dataset_safe,Safe repair is limited to preserving order as within-dataset bin codes. This does not imply equivalence to dataset 336 continuous values.
pcv,yes,ordered_bin_code,41.3 - 45.2,7,repaired_candidate_only_not_cross_dataset_safe,Safe repair is limited to preserving order as within-dataset bin codes. This does not imply equivalence to dataset 336 continuous values.
pcv,yes,ordered_bin_code,45.2 - 49.1,8,repaired_candidate_only_not_cross_dataset_safe,Safe repair is limited to preserving order as within-dataset bin codes. This does not imply equivalence to dataset 336 continuous values.
pcv,yes,ordered_bin_code,>= 49.1,9,repaired_candidate_only_not_cross_dataset_safe,Safe repair is limited to preserving order as within-dataset bin codes. This does not imply equivalence to dataset 336 continuous values.
pe,no,none,,,conditional_after_mapping_confirmation,"Likely a simple binary representation mismatch, but the 0/1 direction in dataset 857 must be confirmed before mapping."
pot,yes,ordered_bin_code,< 7.31,0,repaired_candidate_only_not_cross_dataset_safe,Safe repair is limited to preserving order as within-dataset bin codes. This does not imply equivalence to dataset 336 continuous values.
pot,yes,ordered_bin_code,7.31 - 11.72,1,repaired_candidate_only_not_cross_dataset_safe,Safe repair is limited to preserving order as within-dataset bin codes. This does not imply equivalence to dataset 336 continuous values.
pot,yes,ordered_bin_code,38.18 - 42.59,2,repaired_candidate_only_not_cross_dataset_safe,Safe repair is limited to preserving order as within-dataset bin codes. This does not imply equivalence to dataset 336 continuous values.
pot,yes,ordered_bin_code,>= 42.59,3,repaired_candidate_only_not_cross_dataset_safe,Safe repair is limited to preserving order as within-dataset bin codes. This does not imply equivalence to dataset 336 continuous values.
rbc,no,none,,,conditional_after_mapping_confirmation,"Feature appears binary, but the semantic direction of dataset 857 numeric codes must be confirmed before any shared mapping is declared safe."
rbcc,yes,ordered_bin_code,< 2.69,0,repaired_candidate_only_not_cross_dataset_safe,Safe repair is limited to preserving order as within-dataset bin codes. This does not imply equivalence to dataset 336 continuous values.
rbcc,yes,ordered_bin_code,2.69 - 3.28,1,repaired_candidate_only_not_cross_dataset_safe,Safe repair is limited to preserving order as within-dataset bin codes. This does not imply equivalence to dataset 336 continuous values.
rbcc,yes,ordered_bin_code,3.28 - 3.87,2,repaired_candidate_only_not_cross_dataset_safe,Safe repair is limited to preserving order as within-dataset bin codes. This does not imply equivalence to dataset 336 continuous values.
rbcc,yes,ordered_bin_code,3.87 - 4.46,3,repaired_candidate_only_not_cross_dataset_safe,Safe repair is limited to preserving order as within-dataset bin codes. This does not imply equivalence to dataset 336 continuous values.
rbcc,yes,ordered_bin_code,4.46 - 5.05,4,repaired_candidate_only_not_cross_dataset_safe,Safe repair is limited to preserving order as within-dataset bin codes. This does not imply equivalence to dataset 336 continuous values.
rbcc,yes,ordered_bin_code,5.05 - 5.64,5,repaired_candidate_only_not_cross_dataset_safe,Safe repair is limited to preserving order as within-dataset bin codes. This does not imply equivalence to dataset 336 continuous values.
rbcc,yes,ordered_bin_code,5.64 - 6.23,6,repaired_candidate_only_not_cross_dataset_safe,Safe repair is limited to preserving order as within-dataset bin codes. This does not imply equivalence to dataset 336 continuous values.
rbcc,yes,ordered_bin_code,6.23 - 6.82,7,repaired_candidate_only_not_cross_dataset_safe,Safe repair is limited to preserving order as within-dataset bin codes. This does not imply equivalence to dataset 336 continuous values.
rbcc,yes,ordered_bin_code,>= 7.41,8,repaired_candidate_only_not_cross_dataset_safe,Safe repair is limited to preserving order as within-dataset bin codes. This does not imply equivalence to dataset 336 continuous values.
sc,yes,ordered_bin_code,< 3.65,0,repaired_candidate_only_not_cross_dataset_safe,Safe repair is limited to preserving order as within-dataset bin codes. This does not imply equivalence to dataset 336 continuous values.
sc,yes,ordered_bin_code,3.65 - 6.8,1,repaired_candidate_only_not_cross_dataset_safe,Safe repair is limited to preserving order as within-dataset bin codes. This does not imply equivalence to dataset 336 continuous values.
sc,yes,ordered_bin_code,6.8 - 9.95,2,repaired_candidate_only_not_cross_dataset_safe,Safe repair is limited to preserving order as within-dataset bin codes. This does not imply equivalence to dataset 336 continuous values.
sc,yes,ordered_bin_code,9.95 - 13.1,3,repaired_candidate_only_not_cross_dataset_safe,Safe repair is limited to preserving order as within-dataset bin codes. This does not imply equivalence to dataset 336 continuous values.
sc,yes,ordered_bin_code,13.1 - 16.25,4,repaired_candidate_only_not_cross_dataset_safe,Safe repair is limited to preserving order as within-dataset bin codes. This does not imply equivalence to dataset 336 continuous values.
sc,yes,ordered_bin_code,16.25 - 19.4,5,repaired_candidate_only_not_cross_dataset_safe,Safe repair is limited to preserving order as within-dataset bin codes. This does not imply equivalence to dataset 336 continuous values.
