feature,dtype_336,dtype_857,non_null_count_336,non_null_count_857,missing_count_336,missing_count_857,unique_count_336,unique_count_857,representation_336,representation_857,unique_values_sample_336,unique_values_sample_857,consistency_status,recommended_action,recommended_modeling_type,type_plan_notes,manual_review_required,manual_review_reasons
age,float64,str,391,200,9,0,76,10,numeric_continuous,categorical_text,"[""11"", ""12"", ""14"", ""15"", ""17"", ""19"", ""2"", ""20"", ""21"", ""22"", ""23"", ""24""]","[""20 - 27"", ""20-Dec"", ""27 - 35"", ""35 - 43"", ""43 - 51"", ""51 - 59"", ""59 - 66"", ""66 - 74"", ""< 12"", ""\u2265 74""]",representation_mismatch,manual_review_required,manual_review_required,"Do not harmonize automatically. Confirm semantic direction, category coding, and whether cross-dataset transformation is methodologically acceptable.",yes,"[""dataset_857:contains_excel_style_month_tokens"", ""cross_dataset_representation_mismatch:numeric_continuous_vs_categorical_text""]"
al,float64,str,354,200,46,0,6,5,numeric_low_cardinality,categorical_text,"[""0"", ""1"", ""2"", ""3"", ""4"", ""5""]","[""1-Jan"", ""2-Feb"", ""3-Mar"", ""< 0"", ""\u2265 4""]",representation_mismatch,manual_review_required,manual_review_required,"Do not harmonize automatically. Confirm semantic direction, category coding, and whether cross-dataset transformation is methodologically acceptable.",yes,"[""dataset_857:contains_excel_style_month_tokens"", ""cross_dataset_representation_mismatch:numeric_low_cardinality_vs_categorical_text""]"
ane,str,int64,399,200,1,0,2,2,binary_text_yes_no,binary_numeric,"[""no"", ""yes""]","[""0"", ""1""]",binary_encoding_mismatch,manual_review_required,manual_review_required,"Do not harmonize automatically. Confirm semantic direction, category coding, and whether cross-dataset transformation is methodologically acceptable.",yes,"[""cross_dataset_representation_mismatch:binary_text_yes_no_vs_binary_numeric""]"
appet,str,int64,399,200,1,0,2,2,binary_text_good_poor,binary_numeric,"[""good"", ""poor""]","[""0"", ""1""]",binary_encoding_mismatch,manual_review_required,manual_review_required,"Do not harmonize automatically. Confirm semantic direction, category coding, and whether cross-dataset transformation is methodologically acceptable.",yes,"[""cross_dataset_representation_mismatch:binary_text_good_poor_vs_binary_numeric""]"
ba,str,int64,396,200,4,0,2,2,binary_text_present_absent,binary_numeric,"[""notpresent"", ""present""]","[""0"", ""1""]",binary_encoding_mismatch,manual_review_required,manual_review_required,"Do not harmonize automatically. Confirm semantic direction, category coding, and whether cross-dataset transformation is methodologically acceptable.",yes,"[""cross_dataset_representation_mismatch:binary_text_present_absent_vs_binary_numeric""]"
bgr,float64,str,356,200,44,0,146,10,numeric_continuous,interval_text_bins,"[""100"", ""101"", ""102"", ""103"", ""104"", ""105"", ""106"", ""107"", ""108"", ""109"", ""110"", ""111""]","[""112 - 154"", ""154 - 196"", ""196 - 238"", ""238 - 280"", ""280 - 322"", ""322 - 364"", ""364 - 406"", ""406 - 448"", ""< 112"", ""\u2265 448""]",numeric_vs_binned_or_text_numeric,manual_review_required,manual_review_required,"Do not harmonize automatically. Confirm semantic direction, category coding, and whether cross-dataset transformation is methodologically acceptable.",yes,"[""cross_dataset_representation_mismatch:numeric_continuous_vs_interval_text_bins""]"
bu,float64,str,381,200,19,0,118,8,numeric_continuous,interval_text_bins,"[""1.5"", ""10"", ""103"", ""106"", ""107"", ""111"", ""113"", ""114"", ""115"", ""118"", ""125"", ""132""]","[""124.3 - 162.4"", ""162.4 - 200.5"", ""200.5 - 238.6"", ""238.6 - 276.7"", ""48.1 - 86.2"", ""86.2 - 124.3"", ""< 48.1"", ""\u2265 352.9""]",numeric_vs_binned_or_text_numeric,manual_review_required,manual_review_required,"Do not harmonize automatically. Confirm semantic direction, category coding, and whether cross-dataset transformation is methodologically acceptable.",yes,"[""cross_dataset_representation_mismatch:numeric_continuous_vs_interval_text_bins""]"
cad,str,int64,398,200,2,0,2,2,binary_text_yes_no,binary_numeric,"[""no"", ""yes""]","[""0"", ""1""]",binary_encoding_mismatch,manual_review_required,manual_review_required,"Do not harmonize automatically. Confirm semantic direction, category coding, and whether cross-dataset transformation is methodologically acceptable.",yes,"[""cross_dataset_representation_mismatch:binary_text_yes_no_vs_binary_numeric""]"
dm,str,int64,398,200,2,0,2,2,binary_text_yes_no,binary_numeric,"[""no"", ""yes""]","[""0"", ""1""]",binary_encoding_mismatch,manual_review_required,manual_review_required,"Do not harmonize automatically. Confirm semantic direction, category coding, and whether cross-dataset transformation is methodologically acceptable.",yes,"[""cross_dataset_representation_mismatch:binary_text_yes_no_vs_binary_numeric""]"
hemo,float64,str,348,200,52,0,115,10,numeric_continuous,interval_text_bins,"[""10"", ""10.1"", ""10.2"", ""10.3"", ""10.4"", ""10.5"", ""10.6"", ""10.7"", ""10.8"", ""10.9"", ""11"", ""11.1""]","[""10 - 11.3"", ""11.3 - 12.6"", ""12.6 - 13.9"", ""13.9 - 15.2"", ""15.2 - 16.5"", ""6.1 - 7.4"", ""7.4 - 8.7"", ""8.7 - 10"", ""< 6.1"", ""\u2265 16.5""]",numeric_vs_binned_or_text_numeric,manual_review_required,manual_review_required,"Do not harmonize automatically. Confirm semantic direction, category coding, and whether cross-dataset transformation is methodologically acceptable.",yes,"[""cross_dataset_representation_mismatch:numeric_continuous_vs_interval_text_bins""]"
